
******************************************
               Running on cuda:0 
******************************************
Regulariser          :         2-norm , 0.1
Dataset              :              Covtype
Data size            :         (581012, 54)
No. Samples          :               581012
Dimensions           :                  378
x0                   :              uniform
Algorithm            :     FaithfulNewtonCR
..............................................................................................................................
     ite     |    inite    |    dtype    |    orcs     |    time     |      f      |   g_norm    |    alpha    |     acc     
     353     |      5      |     UNF     |    19714    |    50.66    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     354     |      5      |     UNF     |    19759    |    50.78    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     355     |      5      |     UNF     |    19804    |    50.89    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     356     |      5      |     UNF     |    19849    |    51.01    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     357     |      5      |     UNF     |    19894    |    51.13    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     358     |      5      |     UNF     |    19939    |    51.24    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     359     |      5      |     UNF     |    19984    |    51.36    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     360     |      5      |     UNF     |    20029    |    51.48    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     361     |      5      |     UNF     |    20074    |    51.60    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     362     |      5      |     UNF     |    20119    |    51.71    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     363     |      5      |     UNF     |    20164    |    51.83    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     364     |      5      |     UNF     |    20209    |    51.95    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     365     |      5      |     UNF     |    20254    |    52.06    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     366     |      5      |     UNF     |    20299    |    52.18    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     367     |      5      |     UNF     |    20344    |    52.30    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     368     |      5      |     UNF     |    20389    |    52.41    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     369     |      5      |     UNF     |    20434    |    52.53    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     370     |      5      |     UNF     |    20479    |    52.65    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     371     |      5      |     UNF     |    20524    |    52.76    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     372     |      5      |     UNF     |    20569    |    52.88    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     373     |      5      |     UNF     |    20614    |    53.00    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     374     |      5      |     UNF     |    20659    |    53.11    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     375     |      5      |     UNF     |    20704    |    53.23    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     376     |      5      |     UNF     |    20749    |    53.35    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     377     |      5      |     UNF     |    20794    |    53.47    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     378     |      5      |     UNF     |    20839    |    53.58    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     379     |      5      |     UNF     |    20884    |    53.70    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     380     |      5      |     UNF     |    20929    |    53.82    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     381     |      5      |     UNF     |    20974    |    53.93    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     382     |      5      |     UNF     |    21019    |    54.05    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     383     |      5      |     UNF     |    21064    |    54.17    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     384     |      5      |     UNF     |    21109    |    54.28    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     385     |      5      |     UNF     |    21154    |    54.40    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     386     |      5      |     UNF     |    21199    |    54.52    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     387     |      5      |     UNF     |    21244    |    54.63    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     388     |      5      |     UNF     |    21289    |    54.75    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     389     |      5      |     UNF     |    21334    |    54.87    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     390     |      5      |     UNF     |    21379    |    54.99    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     391     |      5      |     UNF     |    21424    |    55.10    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     392     |      5      |     UNF     |    21469    |    55.22    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     393     |      5      |     UNF     |    21514    |    55.34    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     394     |      5      |     UNF     |    21559    |    55.45    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     395     |      5      |     UNF     |    21604    |    55.57    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     396     |      5      |     UNF     |    21649    |    55.69    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     397     |      5      |     UNF     |    21694    |    55.80    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     398     |      5      |     UNF     |    21739    |    55.92    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     399     |      5      |     UNF     |    21784    |    56.04    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     400     |      5      |     UNF     |    21829    |    56.15    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     401     |      5      |     UNF     |    21874    |    56.27    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     402     |      5      |     UNF     |    21919    |    56.39    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     403     |      5      |     UNF     |    21964    |    56.50    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     404     |      5      |     UNF     |    22009    |    56.62    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     405     |      5      |     UNF     |    22054    |    56.74    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     406     |      5      |     UNF     |    22099    |    56.86    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     407     |      5      |     UNF     |    22144    |    56.97    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     408     |      5      |     UNF     |    22189    |    57.09    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     409     |      5      |     UNF     |    22234    |    57.21    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     410     |      5      |     UNF     |    22279    |    57.32    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     411     |      5      |     UNF     |    22324    |    57.44    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     412     |      5      |     UNF     |    22369    |    57.56    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     413     |      5      |     UNF     |    22414    |    57.67    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     414     |      5      |     UNF     |    22459    |    57.79    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     415     |      5      |     UNF     |    22504    |    57.91    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     416     |      5      |     UNF     |    22549    |    58.02    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     417     |      5      |     UNF     |    22594    |    58.14    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     418     |      5      |     UNF     |    22639    |    58.26    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     419     |      5      |     UNF     |    22684    |    58.37    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     420     |      5      |     UNF     |    22729    |    58.49    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     421     |      5      |     UNF     |    22774    |    58.61    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     422     |      5      |     UNF     |    22819    |    58.73    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     423     |      5      |     UNF     |    22864    |    58.84    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     424     |      5      |     UNF     |    22909    |    58.96    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     425     |      5      |     UNF     |    22954    |    59.08    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     426     |      5      |     UNF     |    22999    |    59.19    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     427     |      5      |     UNF     |    23044    |    59.31    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     428     |      5      |     UNF     |    23089    |    59.43    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     429     |      5      |     UNF     |    23134    |    59.54    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     430     |      5      |     UNF     |    23179    |    59.66    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     431     |      5      |     UNF     |    23224    |    59.78    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     432     |      5      |     UNF     |    23269    |    59.89    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     433     |      5      |     UNF     |    23314    |    60.01    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     434     |      5      |     UNF     |    23359    |    60.13    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     435     |      5      |     UNF     |    23404    |    60.24    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     436     |      5      |     UNF     |    23449    |    60.36    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     437     |      5      |     UNF     |    23494    |    60.48    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     438     |      5      |     UNF     |    23539    |    60.60    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     439     |      5      |     UNF     |    23584    |    60.71    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     440     |      5      |     UNF     |    23629    |    60.83    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     441     |      5      |     UNF     |    23674    |    60.95    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     442     |      5      |     UNF     |    23719    |    61.06    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     443     |      5      |     UNF     |    23764    |    61.18    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     444     |      5      |     UNF     |    23809    |    61.30    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     445     |      5      |     UNF     |    23854    |    61.41    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     446     |      5      |     UNF     |    23899    |    61.53    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     447     |      5      |     UNF     |    23944    |    61.65    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     448     |      5      |     UNF     |    23989    |    61.76    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     449     |      5      |     UNF     |    24034    |    61.88    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     450     |      5      |     UNF     |    24079    |    62.00    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     451     |      5      |     UNF     |    24124    |    62.11    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     452     |      5      |     UNF     |    24169    |    62.23    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     453     |      5      |     UNF     |    24214    |    62.35    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     454     |      5      |     UNF     |    24259    |    62.47    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     455     |      5      |     UNF     |    24304    |    62.58    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     456     |      5      |     UNF     |    24349    |    62.70    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     457     |      5      |     UNF     |    24394    |    62.82    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     458     |      5      |     UNF     |    24439    |    62.93    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     459     |      5      |     UNF     |    24484    |    63.05    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     460     |      5      |     UNF     |    24529    |    63.17    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     461     |      5      |     UNF     |    24574    |    63.28    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     462     |      5      |     UNF     |    24619    |    63.40    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     463     |      5      |     UNF     |    24664    |    63.52    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     464     |      5      |     UNF     |    24709    |    63.63    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     465     |      5      |     UNF     |    24754    |    63.75    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     466     |      5      |     UNF     |    24799    |    63.87    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     467     |      5      |     UNF     |    24844    |    63.99    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     468     |      5      |     UNF     |    24889    |    64.10    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     469     |      5      |     UNF     |    24934    |    64.22    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     470     |      5      |     UNF     |    24979    |    64.34    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     471     |      5      |     UNF     |    25024    |    64.45    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     472     |      5      |     UNF     |    25069    |    64.57    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     473     |      5      |     UNF     |    25114    |    64.69    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     474     |      5      |     UNF     |    25159    |    64.80    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     475     |      5      |     UNF     |    25204    |    64.92    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     476     |      5      |     UNF     |    25249    |    65.04    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     477     |      5      |     UNF     |    25294    |    65.15    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     478     |      5      |     UNF     |    25339    |    65.27    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     479     |      5      |     UNF     |    25384    |    65.39    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     480     |      5      |     UNF     |    25429    |    65.50    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     481     |      5      |     UNF     |    25474    |    65.62    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     482     |      5      |     UNF     |    25519    |    65.74    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     483     |      5      |     UNF     |    25564    |    65.86    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     484     |      5      |     UNF     |    25609    |    65.97    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     485     |      5      |     UNF     |    25654    |    66.09    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     486     |      5      |     UNF     |    25699    |    66.21    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     487     |      5      |     UNF     |    25744    |    66.32    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     488     |      5      |     UNF     |    25789    |    66.44    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     489     |      5      |     UNF     |    25834    |    66.56    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     490     |      5      |     UNF     |    25879    |    66.67    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     491     |      5      |     UNF     |    25924    |    66.79    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     492     |      5      |     UNF     |    25969    |    66.91    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     493     |      5      |     UNF     |    26014    |    67.02    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     494     |      5      |     UNF     |    26059    |    67.14    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     495     |      5      |     UNF     |    26104    |    67.26    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     496     |      5      |     UNF     |    26149    |    67.37    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     497     |      5      |     UNF     |    26194    |    67.49    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     498     |      5      |     UNF     |    26239    |    67.61    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     499     |      5      |     UNF     |    26284    |    67.73    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     500     |      5      |     UNF     |    26329    |    67.84    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     501     |      5      |     UNF     |    26374    |    67.96    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     502     |      5      |     UNF     |    26419    |    68.08    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     503     |      5      |     UNF     |    26464    |    68.19    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     504     |      5      |     UNF     |    26509    |    68.31    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     505     |      5      |     UNF     |    26554    |    68.43    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     506     |      5      |     UNF     |    26599    |    68.54    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     507     |      5      |     UNF     |    26644    |    68.66    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     508     |      5      |     UNF     |    26689    |    68.78    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     509     |      5      |     UNF     |    26734    |    68.89    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     510     |      5      |     UNF     |    26779    |    69.01    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     511     |      5      |     UNF     |    26824    |    69.13    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     512     |      5      |     UNF     |    26869    |    69.24    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     513     |      5      |     UNF     |    26914    |    69.36    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     514     |      5      |     UNF     |    26959    |    69.48    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     515     |      5      |     UNF     |    27004    |    69.60    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     516     |      5      |     UNF     |    27049    |    69.71    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     517     |      5      |     UNF     |    27094    |    69.83    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     518     |      5      |     UNF     |    27139    |    69.95    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     519     |      5      |     UNF     |    27184    |    70.06    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     520     |      5      |     UNF     |    27229    |    70.18    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     521     |      5      |     UNF     |    27274    |    70.30    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     522     |      5      |     UNF     |    27319    |    70.41    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     523     |      5      |     UNF     |    27364    |    70.53    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     524     |      5      |     UNF     |    27409    |    70.65    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     525     |      5      |     UNF     |    27454    |    70.76    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     526     |      5      |     UNF     |    27499    |    70.88    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     527     |      5      |     UNF     |    27544    |    71.00    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     528     |      5      |     UNF     |    27589    |    71.11    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     529     |      5      |     UNF     |    27634    |    71.23    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     530     |      5      |     UNF     |    27679    |    71.35    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     531     |      5      |     UNF     |    27724    |    71.47    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     532     |      5      |     UNF     |    27769    |    71.58    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     533     |      5      |     UNF     |    27814    |    71.70    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     534     |      5      |     UNF     |    27859    |    71.82    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     535     |      5      |     UNF     |    27904    |    71.93    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     536     |      5      |     UNF     |    27949    |    72.05    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     537     |      5      |     UNF     |    27994    |    72.17    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     538     |      5      |     UNF     |    28039    |    72.28    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     539     |      5      |     UNF     |    28084    |    72.40    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     540     |      5      |     UNF     |    28129    |    72.52    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     541     |      5      |     UNF     |    28174    |    72.63    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     542     |      5      |     UNF     |    28219    |    72.75    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     543     |      5      |     UNF     |    28264    |    72.87    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     544     |      5      |     UNF     |    28309    |    72.98    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     545     |      5      |     UNF     |    28354    |    73.10    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     546     |      5      |     UNF     |    28399    |    73.22    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     547     |      5      |     UNF     |    28444    |    73.34    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     548     |      5      |     UNF     |    28489    |    73.45    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     549     |      5      |     UNF     |    28534    |    73.57    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     550     |      5      |     UNF     |    28579    |    73.69    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     551     |      5      |     UNF     |    28624    |    73.80    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     552     |      5      |     UNF     |    28669    |    73.92    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     553     |      5      |     UNF     |    28714    |    74.04    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     554     |      5      |     UNF     |    28759    |    74.15    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     555     |      5      |     UNF     |    28804    |    74.27    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     556     |      5      |     UNF     |    28849    |    74.39    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     557     |      5      |     UNF     |    28894    |    74.50    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     558     |      5      |     UNF     |    28939    |    74.62    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     559     |      5      |     UNF     |    28984    |    74.74    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     560     |      5      |     UNF     |    29029    |    74.86    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     561     |      5      |     UNF     |    29074    |    74.97    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     562     |      5      |     UNF     |    29119    |    75.09    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     563     |      5      |     UNF     |    29164    |    75.21    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     564     |      5      |     UNF     |    29209    |    75.32    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     565     |      5      |     UNF     |    29254    |    75.44    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     566     |      5      |     UNF     |    29299    |    75.56    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     567     |      5      |     UNF     |    29344    |    75.67    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     568     |      5      |     UNF     |    29389    |    75.79    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     569     |      5      |     UNF     |    29434    |    75.91    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     570     |      5      |     UNF     |    29479    |    76.02    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     571     |      5      |     UNF     |    29524    |    76.14    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     572     |      5      |     UNF     |    29569    |    76.26    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     573     |      5      |     UNF     |    29614    |    76.37    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     574     |      5      |     UNF     |    29659    |    76.49    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     575     |      5      |     UNF     |    29704    |    76.61    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     576     |      5      |     UNF     |    29749    |    76.72    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     577     |      5      |     UNF     |    29794    |    76.84    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     578     |      5      |     UNF     |    29839    |    76.96    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     579     |      5      |     UNF     |    29884    |    77.08    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     580     |      5      |     UNF     |    29929    |    77.19    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     581     |      5      |     UNF     |    29974    |    77.31    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
     582     |      5      |     UNF     |    30019    |    77.43    | 7.5545e-01  | 1.0181e-06  |  4.66e-10   |    0.00     
